name,long_description,logo_link,short_description
AMA Biozeichen,"Established by the Ministry of Agriculture as a unique label for the different organic food producers’ associations. It is only given for food produced by organic farming. There are two versions of the label, one without specification of the origin (black label) and one with specification of the origin (red label). Certification/ registration required, Unknown, AMA Marketing Gmb, Unknown, Government, None.",https://www.ecolabelindex.com/files/ecolabel-logos-sized/ama-biozeichen.png,"Food, Austria"
American Grassfed,"The American Grassfed Association (AGA) certification identifies food and agriculture products which meet the standards as set forth in the AGA Grassfed Ruminant Standards and certified through a program approved by the AGA.  The logos and design marks may only by used by those who have an approved signed license agreement with the American Grassfed Association.Grassfed products are defined  as those food products from animals that have eaten nothing but their mother’s milk and fresh grass or grass-type hay from birth to harvest – all their lives.  The logo determines that animals were fed a lifetime diet of 100% forage; were raised on pasture, not in confinement; and were never treated with hormones or antibiotics. The most common products are beef, bison, lamb, goat, pork, poultry, eggs and dairy (milk, butter and cheese).Standards are verified by an independent, third-party, on-farm audit by 'Animal Welfare Approved'. Certification/ registration required, Applicants are certified against the ecolabels’s criteria before using the label, American Grassfed Association, Unknown, Industry association, None.",https://www.ecolabelindex.com/files/ecolabel-logos-sized/American-Grassfed.png,"Food, United States"
ANAB - Architettura Naturale,"A certification scheme that assesses the sustainability of building products and furniture.To qualify, building materials must be made primarily from renewable virgin resources, mineral resources and secondary resources for which recycling is logistically and energetically feasible. They are made from raw materials which are preferably obtained locally; they derive from a production process which does not involve use of substances hazardous to man or the environment and they do not emit pollutants during use. Materials are supplied with information on sustainability for use by architects and users and come with installation and maintenance specifications for ensuring reduced environmental impact during both construction and use of the building. Certification/ registration required, Unknown, ANAB - National Association Bioecological Architecture, Unknown, Non-profit, None.",https://www.ecolabelindex.com/files/ecolabel-logos-sized/anab-architettura-naturale.png,"Buildings, Furniture, Italy"
Animal Welfare Approved,"Animal Welfare Approved (AWA) is a standard for farm animal welfare - the basic premise is that animals must be able to behave naturally and be in a state of physical and psychological well-being. The standard:requires animals to be raised on pasture or rangeprohibits dual productionawards approval only to family farmerscharges no fees to participating farmersincorporates comprehensive standards for high welfare farmingAWA standards have been developed in collaboration with scientists, veterinarians, researchers, and farmers across the globe to maximize practicable, high-welfare farm management. AWA’s standards incorporate best practice and recent research and have been adopted only after rigorous review. Certification/ registration required, Applicants are certified against the ecolabels’s criteria before using the label, A Greener World, Unknown, Non-profit, None.",https://www.ecolabelindex.com/files/ecolabel-logos-sized/animal-welfare.png,"Food, Textiles, Canada"
Aquaculture Stewardship Council,"The Aquaculture Stewardship Council (ASC) offers standards for aquaculture and for the seafood chain of custody.The standards are being developed by the Aquaculture Dialogues in compliance with the guidelines for standard setting established by the International Social and Environmental Accreditation and Labeling Alliance (ISEAL).The certification according to these standards will be in the hands of independent, third-party, accredited certifiers.The ASC standards seek to increase the availability of certified sustainable seafood. In 2012, the ASC will launch a credible consumer label that assures compliance and will make it easy for everyone to take part. Certification/ registration required, Applicants are certified against the ecolabels’s criteria before using the label, Aquaculture Stewardship Council, ISEAL, Non-profit, None.",https://www.ecolabelindex.com/files/ecolabel-logos-sized/aquaculture-stewardship-council.png,Food
Arge TQ,"A guide and rating system resulting in a certificate for the assessment of building quality, in terms of
Summary project description and issue level results of the evaluation:Resource ConsumptionEnvironmental LoadingsIndoor Environmental QualityDurabilitySafety and SecurityQuality of the design processQuality of the construction processQuality of amenities and site Certification/ registration required, Applicants are certified against the ecolabels’s criteria before using the label, ArgeTQ, Unknown, For-profit, None.",https://www.ecolabelindex.com/files/ecolabel-logos-sized/arge-tq.png,"Buildings, Austria, Germany"
AsureQuality Organic Standard,"The AsureQuality Organic Standard is based on internationally recognised guidelines and is accredited by the International Federation of Organic Agriculture Movements (IFOAM). Certification/ registration required, Unknown, AsureQuality Limited, IFOAM, Government, None.",https://www.ecolabelindex.com/files/ecolabel-logos-sized/asurequality-organic-standard.png,"Food, Australia, New Zealand"
Audubon International,"Audubon International's environmental and sustainability education and certification programs require individuals responsible for the membership type to meet specific environmental or sustainability performance requirements.  Standards currently exist for communities, neighborhoods, new land developments, land development renovations, schools, businesses, golf courses, and lodging facilities. Certification/ registration required, Applicants are certified against the ecolabels’s criteria before using the label, Audubon International, Unknown, Non-profit, None.",https://www.golfthewilderness.com/images/Audubon-Internationsl-Cert.png,"Buildings, Tourism, Waste management & Recycling"
Australian Certified Organic,"ACO provides certification services to operators from all sectors of the organic industry. Certification ensures compliance with national production standards and allows trace back of all products to their origin. Certification/ registration required, Applicants are certified against the ecolabels’s criteria before using the label, Australian Certified Organic - subsidiary of Biological Farmers of Australia, IFOAM,ISO, Non-profit, None.",https://www.ecolabelindex.com/files/ecolabel-logos-sized/australian-certified-organic.png,"Cosmetics / Personal care, Fish / Fisheries, Food"
Australian Forest Certification Scheme,"Enables users and consumers of timber and wood-based products to be assured that the origin of timber or wood-based products are derived from sources that have been independently, third-party certified from sustainably managed forests.

The Australian Forest Certification Scheme covers both forest management (FM) and chain of custody (CC) certification. Certification/ registration required, Unknown, Australian ForestryStandardLimited, Unknown, Non-profit, None.",https://www.ecolabelindex.com/files/ecolabel-logos-sized/australian-forest-certification-scheme.png,"Forest products / Paper, Australia"
AvoGreen,"AvoGreen® is a Pest Monitoring programme with an auditable avocado production system based on the principles of Integrated Pest Management (IPM). The programme aims to keep pest populations at levels below those that can cause economic loss and with careful monitoring and trace-back systems provide overall quality and safety assurances to all customers. Certification/ registration required, Unknown, New Zealand Avocado Growers' Association & Industry Council Ltd, Unknown, Industry association, None.",https://www.ecolabelindex.com/files/ecolabel-logos-sized/avogreen.png,"Food, New Zealand"
B Corporation,"B Corporations are a new type of corporation which uses the power of business to solve social and environmental problems. B Corporations are unlike traditional responsible businesses because they meet comprehensive and transparent social and environmental performance standards, institutionalize stakeholder interests, and build collective voice through the power of a unifying brand. B Corporations' legal structure expands corporate accountability and enables them to scale and achieve liquidity while maintaining mission. B Corporations' transparent and comprehensive performance standards enable consumers to support businesses that align with their values, investors to drive capital to higher impact investments, and governments and multinational corporations to implement sustainable procurement policies. Certification/ registration required, Applicants are certified against the ecolabels’s criteria before using the label, B Lab, Unknown, Non-profit, None.",https://www.ecolabelindex.com/files/ecolabel-logos-sized/b-corporation.png,"Appliances, Building products, Carbon offsets"
BASF Eco-Efficiency,"BASF SE has developed a label for products that have been evaluated by an Eco-Efficiency Analysis. The awarding of the label is dependent on demanding requirements: After conclusion of the analysis a third party evaluation (peer review) is requested. Furthermore, publication of the results of the analysis will be undertaken via internet.The label can be carried on for three years. After that period, a revision of the analysis is required due to cover market developments and product diversity.Requirements
Accomplished Eco-Efficiency Analysis according to the methodology certified by TÜV Rheinland/ Berlin-Brandenburg (Germany) and NSF International (USA). Certification/ registration required, Applicants are certified against the ecolabels’s criteria before using the label, BASF Eco-Efficiency, Unknown, For-profit, None.",https://www.ecolabelindex.com/files/ecolabel-logos-sized/basf-eco-efficiency.png,"Appliances, Building products, Cleaning products"
BASS (Product inventory for the construction industry),"BASS is an online tool to help companies to meet regulatory requirements associated with the use of chemicals in the workplace/projects.Since its establishment in 2001, BASS developed to become the industry standard in the construction industry in Norway. Since 2009, BASS includes the auto industry.Development of the BASS is done in close cooperation with business, and provides users with a tool for:Receipt of Material Safety Data Sheets
Control of Material Safety Data Sheets
Creation of records on project / merchant
Overview of all chemicals used in your business
Distribution between actors
Material Tracking
Identification of all products is on the government's priority list 
Risk and substitution RatingsFrom 2013 the system will be replaced by a European sysem www.ChemXchange.com witch is supported by leading European assisiations. Certification/ registration required, Unknown, coBuilder AS, Unknown, For-profit, None.",https://www.ecolabelindex.com/files/ecolabel-logos-sized/bass.png,"Building products, Other, Norway"
BASTA,"The BASTA system focuses on hazardous substances in construction and building products. Products are assessed according their chemical ingredients.Suppliers are responsible for the assessment, and are required to:
Declare contents -  The supplier must have detailed knowledge of the product´s chemical composition; 
Provide supporting documentation - The supplier must be able to provide documentation to support the assessment that the product meets the properties criteria; 
Demonstrate Competence - those who undertake the product assessment must demonstrate necessary competence in environmental and health assessments; andBASTA undertakes regular controls to ensure that participating suppliers follow the BASTA terms of qualification.Following an assessment, products are designated in either the BASTA or BETA register. The BASTA register has more comprehensive requirements; and the BETA register has those products meeting more basic requirements.BASTA is run as a non-profit owned jointly by IVL Swedish Environmental Research Institute and The Swedish Construction Federation. BASTA is developed for use in the Swedish market, and the database is only available in Swedish. Certification/ registration required, Applicants register for the ecolabel in order to use the label (but certification is not required), BASTAonline AB, Unknown, Non-profit, None.",https://www.ecolabelindex.com/files/ecolabel-logos-sized/basta.png,"Building products, Sweden"
Bay Area Green Business,"The Bay Area Green Business Program distinguishes small businesses that protect, preserve and sustain our environment. The partnership of environmental agencies and utilities assists, offers incentives, and verifies that participating businesses conserve energy and water, minimize waste, prevent pollution, and reduce their carbon footprints. Certification/ registration required, Applicants are certified against the ecolabels’s criteria before using the label, Association of Bay Area Governments, Unknown, Government, None.",https://www.ecolabelindex.com/files/ecolabel-logos-sized/bay-area-green-business.png,"Other, United States"
Beluga,"Beluga’s objective is to improve quality of life by promoting environmental conservation and ecologically sustainable development. We do this by arousing interest in environmental issues in collaboration with the government and government ministries, municipalities, companies and individuals. A good environmental policy leads to improved well being of employees, a stronger image of companies and institutions and thereby increased profitabililty which increases competitiveness of the company in question. Each entity is assessed independently and hence it is not possible to talk of ""standards"". Beluga concentrates on assessing the environmental policy of entities rather than the environmental management of them. Certification/ registration required, Applicants are certified against the ecolabels’s criteria before using the label, Beluga, Other, Other, None.",https://www.ecolabelindex.com/files/ecolabel-logos-sized/beluga.png,"Tourism, Transportation, Other"
Best Aquaculture Practices,"The Best Aquaculture Practices Certified (BAP Certified) mark on retail packaging tells consumers that seafood came from BAP certified aquaculture facilities.The Best Aquaculture Practices standards, developed by the Global Aquaculture Alliance, form the basis for BAP certification. The standards specifically protect biodiversity and worker rights within a program that addresses environmental, social, food safety and traceability issues throughout producers' operations.BAP certification is implemented through the Aquaculture Certification Council, an independent certifying agency that employs an international team of accredited evaluators to inspect facilities to the BAP standards through site inspections, sampling and record reviews.BAP certification is currently available for shrimp farms and hatcheries, and seafood processing plants. Certification/ registration required, Applicants are certified against the ecolabels’s criteria before using the label, Global Aquaculture Alliance, Unknown, Non-profit, None.",https://www.ecolabelindex.com/files/ecolabel-logos-sized/best-aquaculture-practices.png,"Fish / Fisheries, Food, Bangladesh"
Better Cotton Initiative,"The Better Cotton Initiative (BCI) promotes a comprehensive set of production principles and criteria for growing cotton in a more sustainable manner: socially, environmentally and economically. A member-based organisation made up of players from the entire cotton supply chain, BCI had its first harvest of “Better Cotton” in 2010. BCI currently has a system in place to trace Better Cotton from the farm to the gin. The organisation’s goal is to catalyse the mass market production of cotton produced more sustainably, by creating demand on a global scale for a new mainstream commodity, Better Cotton. BCI is complementary to other initiatives like Certified Organic, Fairtrade cotton and Cotton made in Africa (CmiA). Certification/ registration required, Applicants are certified against the ecolabels’s criteria before using the label, Better Cotton Initiative, ISEAL, Non-profit, None.",https://www.ecolabelindex.com/files/ecolabel-logos-sized/better-cotton-initiative.png,Textiles
Better Environmental Sustainability Targets (BEST) Standard 1001,"The Better Environmental Sustainability Targets (BEST) certification provides recognition for lead battery manufacturers that meet minimum emission standards and agree to take back used batteries for environmentally sound recycling. The objective is to reduce emissions from lead battery plants and recyclers, and prevent lead poisoning through an incentive program for these companies. Certification/ registration required, Applicants are certified against the ecolabels’s criteria before using the label, Occupational Knowledge International, Unknown, Non-profit, None.",https://www.ecolabelindex.com/files/ecolabel-logos-sized/better-environmental-sustainability-targets-best-standard-1001.png,"Electronics, Energy, Waste management & Recycling"
BIO Hellas,"BIO Hellas is an accredited certification body that provides Inspection and Certification services for the organic products according to:The Regulation EC 834/2007 & 889/2008The NOP/ USDA Regulation.Also provides inspection services for the organic products according to:Naturland standardBiosuisse standardDemeter standardKRAV standard.BIO Hellas provides inspection and certification services according to the private standards:Natrue (for the certification of organic and natural cosmeticsBIO Kouzina (BIO Hellas private standard for the certification of mass catering operations).BIO Hellas is an approved inspection and certfication body by the Bulgarian Ministry of Agriculture and Food and by the Moldavian Ministry of Agriculture and Food Industry.The activities of BIO Hellas include the research and promotion of Organic Agriculture and the Development of Inspection and Certification Systems. Certification/ registration required, Applicants are certified against the ecolabels’s criteria before using the label, BIO Hellas, IFOAM,ISO, For-profit, None.",https://www.ecolabelindex.com/files/ecolabel-logos-sized/bio-hellas.png,"Fish / Fisheries, Food, Bulgaria"
BIO Hotels,"This certification covers organic and regional products in Hotels.BIO Hotels uses only organic certified products that meet the standard of Bioland or similar ecolabels. Up to three exceptions are allowed.For wild harvesting exceptions are generally allowed but the product must be sustainably certified. For beverage the standard is also only organic quality. Up to three exceptions are allowed by paying fines. Exceptions are not possible with coffee and cocoa.For non-food products there is an obligation to use only cosmetics products that are certified by accredited standards such as ABG, BDIH, Ecocert, ICEA, or Natrue.BIO-Hotels members rely on the Eco Hotels Certified ecolabel for resource-management, Certification/ registration required, Applicants register for the ecolabel in order to use the label (but certification is not required), Die BIO Hotels - Verein für Angebotsentwicklung & Marketing, Unknown, Industry association, None.",https://www.ecolabelindex.com/files/ecolabel-logos-sized/bio_hotels.png,"Food, Tourism, Austria"
Bio Quebec,"The presence of the BIO Québec logo on products ensures that these products have been certified according to the Québec Organic Reference Standards, a set of requirements developed for Québec businesses, and guarantees that the products contain at least 95% ingredients of organic origin. Certification/ registration required, Unknown, Conseil des appellations réservées et des termes valorisants (CARTV), Unknown, Government, None.",https://www.ecolabelindex.com/files/ecolabel-logos-sized/bio-quebec.png,"Food, Canada"
Bio Suisse,"Indicates fully organic, produced in Switzerland.More than 90% of the raw materials come from Switzerland. Certification/ registration required, Applicants are certified against the ecolabels’s criteria before using the label, Bio Suisse, IFOAM, Non-profit, None.",https://www.ecolabelindex.com/files/ecolabel-logos-sized/bio-suisse.png,"Fish / Fisheries, Food, Liechtenstein"
Bio-Siegel,"All agricultural products produced according to the requirements outlined in the EU Regulation on Organic Farming , as referenced in the German Organic Food Labelling Act, are permitted to use the Bio-Siegel label.At least 95% of of the agricultural ingredients contained in processed products must come from organic production. Certification/ registration required, Unknown, The Federal Ministry for Food, Agriculture and Consumer Protection, Unknown, Government, None.",https://www.ecolabelindex.com/files/ecolabel-logos-sized/bio-siegel.png,"Food, Germany, South Africa"
BIODAR,"Biodar produced foodstuffs are the harvest and products produced on Slovenian farms operated according to international IFOAM basic standards. Certification/ registration required, Unknown, The Union of Slovenian Organic Farmers’ Associations (ISOFA), Unknown, Non-profit, None.",https://www.ecolabelindex.com/files/ecolabel-logos-sized/biodar.png,"Food, Slovenia"
BioForum Biogarantie and Ecogarantie,"Biogarantie ® is a Belgian organic label. It is also recognised at the European level but puts more stringent conditions, for example, by prohibiting the use of nitrite salts in meat products. Additional standards are developed under the Biogarantie ® specifications for areas not yet covered by European Regulation 834/2007 such as catering, pet food and textiles.Ecogarantie ® is the brand for products with ingredients from organic agriculture and / or mineral origin. The standards are currently available relate to cosmetics, detergents and cleaning products and sea salt. Certification/ registration required, Applicants are certified against the ecolabels’s criteria before using the label, Bioforum vzw Flanders, IFOAM, Non-profit, None.",https://www.ecolabelindex.com/files/ecolabel-logos-sized/BioForum.png,"Cosmetics / Personal care, Food, Belgium"
BioGro New Zealand,"Organic producer and consumer organisation actively working to grow organics in New Zealand.

Developed over twenty-five years especially for New Zealand organic producers the BioGro NZ Organic Standards are practical and achievable. Certification/ registration required, Unknown, BioGro New Zealand Ltd, Unknown, Non-profit, None.",https://www.ecolabelindex.com/files/ecolabel-logos-sized/biogro-new-zealand.png,"Food, New Zealand"
Biokreis,"The Biokreis is a non-governmental organisation. Its goals are:to help farmers to grow organically,to bring farmers and manufacturers together - regionally and on a fair basis,to promote organic agriculture,to inform consumers about organic agriculture and a healthy lifestyle. Certification/ registration required, Applicants are certified against the ecolabels’s criteria before using the label, Biokreis, Verband für Ökologischen Landbau und gesunde Ernährung, IFOAM, Non-profit, None.",https://www.ecolabelindex.com/files/ecolabel-logos-sized/biokreis.png,"Fish / Fisheries, Food, Austria"
Bioland,"Based on the organic-biological method the Bioland farmers gave themselves organic farming standards, which they continuously maintained, adapted and developed, so that it now includes all aspects of a modern ecological agricultural production, animal husbandry as well as food processing. All Bioland members and contract partners submit to the Bioland inspection system. The compliance with the Bioland standards is inspected in addition to the legal requirements as stipulated by the EU-regulation 2092/91 on organic agriculture. Certification/ registration required, Applicants are certified against the ecolabels’s criteria before using the label, BIOLAND-Verband für organisch-biologischen Landbau e.V., Unknown, Non-profit, None.",https://www.ecolabelindex.com/files/ecolabel-logos-sized/bioland.png,"Food, Germany"
Bird Friendly Coffee,"Identifies and verifies through third-party, independent inspection and certification that coffee has been grown using shade management practices that provide good bird habitats. Shade characteristics must meet science-based criteria developed from ornithological field work.
Only allows organic certifiers to issue the Bird Friendly label on organically certified coffees. Certification/ registration required, Applicants are certified against the ecolabels’s criteria before using the label, Smithsonian Migratory Bird Center at the National Zoological Park, None, Non-profit, None.",https://www.ecolabelindex.com/files/ecolabel-logos-sized/bird-friendly-coffee.png,"Commodities, Food, Other"
Blue Angel,"The Blue Angel was initiated by the German government and awarded by an independent Jury to products that are environmentally friendlier than others serving the same use.Each label specifies that the product or service focuses on one of four different protection goals: health, climate, water, and resources.The Blue Angel Standard is managed by four entities:The Environmental Label Jury  is an independent decision-making body composed of representatives from environmental and consumer associations, trade unions, industry, trade, crafts, local authorities, science, media, churches and federal states.The Federal Ministry for the Environment Nature Conservation and Nuclear Safety is the owner of the label. It regularly informs the public about the decisions of the Environmental Label Jury.The Federal Environment Agency with its “Eco-labelling, Eco-declaration and Eco-procurement” department acts as office of the Environmental Label Jury and develops the technical criteria of the Basic Award Criteria for the Blue Angel.RAL gGmbH is the label-awarding agency.The Blue Angel promotes the concerns of both environmental protection and consumer protection. Therefore it is awarded to products and services which are particularly beneficial for the environment in an all-round consideration and which also fulfill high standards of occupational health and safety and fitness for use. Certification/ registration required, Applicants are certified against the ecolabels’s criteria before using the label, Ministry of the Environment, Nature Protection and Nuclear Safety, GEN, Government, None.",https://www.ecolabelindex.com/files/ecolabel-logos-sized/blue-angel.png,"Appliances, Building products, Cleaning products"
Blue Flag,"An ecolabel awarded to over 3200 beaches and marinas in 36 countries across Europe, South Africa, Morocco, New Zealand, Canada and the Caribbean in 2006. Certification/ registration required, Applicants are certified against the ecolabels’s criteria before using the label, Eco-Schools International Coordination, Unknown, Non-profit, Eco-Schools",https://www.ecolabelindex.com/files/ecolabel-logos-sized/blue-flag.png,"Tourism, Other, Canada"
bluesign standard,"The bluesign® standard brings together the entire textile manufacturing chain to
jointly reduce the ecological footprint of a responsibly acting textile industry. Instead of focusing on finished product testing, the bluesign® standard analyzes all input streams – from raw materials to chemical components, to resources – with a sophisticated “Input Stream Management” process. Prior to production, components are assessed based on their ecotoxicological impact. Potentially harmful substances can hence be eliminated before production even begins.
A key aspect of the bluesign® standard is never to compromise on product functionality, quality or design. Using “Best Available Technology” (BAT) along the entire textile manufacturing chain ensures that products meet the
environmental standards without cutting back on performance requirements. Certification/ registration required, Applicants are certified against the ecolabels’s criteria before using the label, bluesign technologies ag, Unknown, For-profit, None.",https://www.ecolabelindex.com/files/ecolabel-logos-sized/bluesign.png,"Textiles, Other, Austria"
BMP Certified Cotton,"BMP is the Australian cotton industry’s guide for growing cotton in harmony with our natural environment.The Australian BMP Cotton trademark is a consumer guarantee that the branded textile product they are buying is made of Australian cotton grown under Best Management Practices by growers who care for our environment. Certification/ registration required, Applicants are certified against the ecolabels’s criteria before using the label, Cotton Australia, Unknown, For-profit, None.",https://www.ecolabelindex.com/files/ecolabel-logos-sized/bmp-certified-cotton.png,"Textiles, Australia"
BOMA Go Green - BOMA BESt,"BOMA BESt (Building Environmental Standards) is a national program managed by BOMA Canada to address an industry need for realistic standards for energy and environmental performance of existing buildings based on accurate, independently verified information. Certification/ registration required, Applicants are certified against the ecolabels’s criteria before using the label, BOMA Canada, Other, Industry association, None.",https://www.ecolabelindex.com/files/ecolabel-logos-sized/boma-go-green-boma-best.png,"Buildings, Canada"
Bonsucro,"Bonsucro is a multi-stakeholder association established to reduce the environmental and social impacts of sugarcane, by designing a Standard and program to transform the sugarcane industry. Bonsucro certified sugarcane products, processes and services will soon be available for purchase. Bonsucro certified products and companies will be third-party verified by Bonsucro's Standard, which provides principles and criteria for environmental responsibility, social development, economic return, and good industry practices. Certification/ registration required, Applicants are certified against the ecolabels’s criteria before using the label, Bonsucro, ISEAL, Non-profit, None.",https://www.ecolabelindex.com/files/ecolabel-logos-sized/bonsucro.png,"Carbon, Commodities, Energy"
BRE Global Certified Environmental Profile,"Environmental profiles measure the impacts of a construction material, product or building system throughout its life – not only during its manufacture, but also its use in a building over a typical building lifetime.  This includes its extraction, processing, use and maintenance and its eventual disposal.The Environmental Profiles Methodology assesses environmental indicators that reflect impacts occurring globally, regionally and locally - in the air, in water and on the land, impacting humans and the environment. These impacts are assessed under a range of issue categories and normalized by reference to European data. They are weighted to generate a measure of environmental impact as a proportion of the annual impact of a European citizen. Certification/ registration required, Applicants are certified against the ecolabels’s criteria before using the label, BRE Global, Unknown, Non-profit, BREEAM",https://www.ecolabelindex.com/files/ecolabel-logos-sized/bre-environmental-profile.png,"Building products, Czech Republic, Denmark"
BREEAM,"BREEAM (BRE Environmental Assessment Method) is an environmental assessment method for buildings around the world.BREEAM provides clients, developers, designers and others withmarket recognition for low environmental impact buildingsassurance that best environmental practice is incorporated into a buildinginspiration to find innovative solutions that minimise the environmental impacta benchmark that is higher than regulationa tool to help reduce running costs, improve working and living environmentsa standard that demonstrates progress towards corporate and organisational environmental objectives Certification/ registration required, Applicants are certified against the ecolabels’s criteria before using the label, BRE Global, Unknown, Non-profit, BRE Global Certified Environmental Profile",https://www.ecolabelindex.com/files/ecolabel-logos-sized/breeam.png,"Buildings, Belgium, Canada"
British Allergy Foundation Seal of Approval,"Endorsement scheme for a wide range of products (from air conditioners and bedding to cars and cleaning products) which specifically restrict or remove high levels of named allergens from the environment. Certification/ registration required, Applicants are certified against the ecolabels’s criteria before using the label, Allergy UK, Unknown, Non-profit, None.",https://www.ecolabelindex.com/files/ecolabel-logos-sized/british-allergy-foundation-seal-of-approval.png,"Appliances, Building products, United Kingdom"
